,Amount,Days_in_Quarter__c,ExpectedRevenue,FiscalQuarter,HasOpportunityLineItem,InvoiceTotalIncludingVATFreight__c,IsClosed,LineItemCount__c,NEW_Total_ACV__c,OwnerId,Probability,Spigit_Rep_Assesment__c,StageName
2926,25000.0,46,0.0,1,True,25000.0,True,1,25000.0,26,0,0,0
2723,15000.0,46,0.0,4,True,15000.0,True,1,15000.0,41,0,0,0
1053,10000.0,91,0.0,2,True,10000.0,True,1,10000.0,32,0,0,0
3512,895.98,31,0.0,3,True,895.98,True,2,895.98,24,0,0,0
907,75000.0,83,75000.0,4,True,75000.0,True,1,0.0,39,100,0,0
454,25000.0,30,0.0,2,True,25000.0,True,1,0.0,32,0,0,0
3586,5000.0,69,5000.0,1,True,5000.0,True,1,5000.0,40,100,0,0
2154,24900.0,61,24900.0,4,True,24900.0,True,1,24900.0,32,100,0,0
874,117000.0,89,117000.0,1,True,117000.0,True,1,0.0,32,100,0,0
3295,39000.0,87,39000.0,1,True,39000.0,True,2,33415.49,39,100,1,0
1984,125000.0,90,0.0,3,True,125000.0,True,2,25000.0,32,0,0,0
539,105000.0,51,105000.0,3,True,105000.0,True,1,0.0,39,100,1,0
1651,91500.0,92,0.0,3,True,91500.0,True,1,0.0,37,0,0,0
1719,77561.75423842318,44,32169.890166191497,3,False,0.0,True,0,0.0,37,0,0,0
1950,77561.75423842318,92,32169.890166191497,3,False,0.0,True,0,0.0,32,0,0,0
4036,261.75,1,0.0,1,True,261.75,True,1,261.75,24,0,0,0
1398,77561.75423842318,17,32169.890166191497,2,False,0.0,True,0,0.0,32,0,0,0
976,25000.0,76,25000.0,1,True,25000.0,True,1,0.0,43,100,0,0
3495,50000.0,31,0.0,4,True,50000.0,True,1,50000.0,26,0,0,1
1963,69000.0,75,0.0,2,True,69000.0,True,1,0.0,32,0,0,0
585,77561.75423842318,91,32169.890166191497,2,False,0.0,True,0,0.0,39,0,0,0
1013,39000.0,91,39000.0,2,True,39000.0,True,1,0.0,32,100,0,0
555,25000.0,37,0.0,3,True,25000.0,True,1,0.0,46,0,0,0
1868,59000.0,77,0.0,4,True,59000.0,True,1,0.0,35,0,0,0
1471,25000.0,90,25000.0,1,True,25000.0,True,1,0.0,32,100,0,0
2913,77561.75423842318,92,32169.890166191497,4,False,0.0,True,0,0.0,41,0,0,0
474,77561.75423842318,90,32169.890166191497,1,False,0.0,True,0,0.0,39,0,0,0
875,5000.0,74,0.0,1,True,5000.0,True,1,0.0,32,0,0,0
3745,11667.0,60,11667.0,3,True,11667.0,True,1,11667.0,69,100,0,0
990,65000.0,91,0.0,4,True,65000.0,True,1,0.0,32,0,0,0
3217,20000.0,50,20000.0,1,True,20000.0,True,1,20000.0,41,100,0,0
